# Na-Anijoi-Yona.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᏕᏥᎪᏩᏘ|||I see them.
ᏗᎦᏂᏟ|||Beds.
ᏗᎦᏍᎩᎶ|||① Chairs. ② Tables.
ᏗᎩᏍᏗ|||Foods.
ᏗᎩᏍᏗᏍ|||*
ᏗᏇᏅᏒ|||My home.
ᏗᏟᏍᏙᏗ|||Containers for liquids.
ᏗᏤᏅᏒ|||Your home.
ᏙᏓᏥᏩᏛᎯ|||I will find them.
ᏙᏛᎩᏯᎵ|||I will look for them.
ᏚᎦᏙᏍᏔᏁ|||He or she looked at them.
ᏚᎵᏔᏗᏅᏎ|||He or she jumped.
ᏚᎾᎦᏙᏍᏔᏁ|||They looked at them.
ᏚᏂᎮᏍᏛᎭ|||They should or would have them.
ᏚᏂᎸᏉᏗ|||They like them.
ᏚᏃᏠ|||They sit.
ᏚᏙᎠ|||He or she is called.
ᏚᏯᏪᏤ|||He or she was tired.
ᏚᏯᏪᏨᎢ|||His or her being tired.
Ꮭ ᏯᎩᎸᏉᏗ|||① I don't like it. ② He or she doesn't like me.
Ꮭ ᏱᏓᎦᎵᏘᏒᏌᏂ|||I will not run away or escape again.
Ꮭ ᏱᏚᏃᏞ|||① They weren't sitting. ② They weren't home.
Ꮭ ᏱᏚᏛᎦᏁ|||He or she didn't hear them.
Ꮭ ᏳᏛᎦᏁ|||He or she did not hear it.
Ꮭ ᏳᏬᏞ|||① He wasn't sitting. ② He wasn't home.
ᏣᎴᎾᏞ|||You lost your way.
ᏣᎵᏘᏎ|||You ran away.
ᏣᏍᏚᏁᏧ|||Didn't you close it?
ᏥᎪᏩᏘ|||I see him, her, or it.
ᏥᏩᏛᎲᎭ|||I should or would find it.
ᏦᎳᏂ|||A window.
ᏧᎾᏤᎵ|||Their things.
ᏧᏪᏅᏒ|||His or her home.
ᏩᏂᎨ|||Soft.
ᏩᏂᎨᏒ|||Extra soft.
ᏫᎦᏲᏢᎢ|||Most small quantity.
ᏫᏍᏓᏴ|||Most hard.
ᏭᏍᏗᎬ|||Smallest.
ᏭᏍᏗᎬᎢ|||*
ᏭᏍᏗᎬᏍ|||*
ᏭᏗᏞᎬ|||Most hot.
ᏭᏴᏢ|||Coldest.
ᏯᎩᎸᏉᏗ|||*
ᏱᎨᏣᏩᏔ|||*
ᏱᏓᎦᎵᏘᏒᏌᏂ|||*
ᏱᏕᏥᏩᏔ|||*
ᏱᏚᏃᏞ|||*
ᏱᏚᏛᎦᏁ|||*
ᏲᎾ|||A bear. Bears.
ᏲᎾᏍ|||*
ᏳᏛᎦᏁ|||*
ᏳᏬᏞ|||*
