# Gigage-Alsdulo-ale-Na-Galgwogi-Unaksojaneda-Anigina.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᎤᎦᏛᎴᏎ|||He went through.
ᎤᎦᏛᎴᏒᎢ|||His or her going through.
ᎤᎨᏳᎭ|||He or she loves or is possessive over him, her, or it.
ᎤᎨᏳᏐ|||He or she always loves or is possessive over him, her, or it.
ᎤᎩᏎ|||① He or she picked it up. ② He or she got it.
ᎤᎩᏒᎭ||ᎤᎩᏒᎢ -ᎥᎭ|He would swallow it.
ᎤᎩᏒᏎ||ᎤᎩᏒᎢ -ᎥᏒᎢ|He or she went to get it.
ᎤᎪᎮ|||He or she saw him, her, or it.
ᎤᎪᏗ|① ù:gô:di ② ǔ:gò:di||① More. ② Much.
ᎤᎬᎭᎸᎮ|||He or she cut it.
ᎤᎬᎭᎸᎲᎢ|||His or her cutting.
ᎤᎬᏤ|||He or she drowned.
ᎤᎭ|||He or she has it.
ᎤᎯᏐᏗ|||It is lonesome.
ᎤᎴᏅᎮ|||He or she began.
ᎤᎵᏍᏇᏚᎦ|||He or she is wearing a head covering.
ᎤᎵᏍᏚᎢᏓ|||Open.
ᎤᎵᏍᏚᎳ|||He or she is wearing a head covering.
ᎤᎵᏍᏚᎳᏁ|||He or she put on a head covering.
ᎤᎵᏏ|||His or her maternal grandmother.
ᎤᎵᏏᎨ||ᎤᎵᏏ -Ꭸ(-ke)|Or is it his or her maternal grandmother.
ᎤᎵᏏᏧ||ᎤᎵᏏ -Ꮷ|Isn't it his or her maternal grandmother?
ᎤᎵᏔᏁ|||He or she put it into a container.
ᎤᎵᏘᏎ|||He or she ran away or escaped.
ᎤᎵᏘᏒᎢ|||His or her running away.
ᎤᎷᏤ|||He or she arrived.
ᎤᎷᏥᏏᎴ||ᎤᎷᏨᎢ -ᎢᏏᎸᎢ|He or she arrived again.
ᎤᎷᏥᏗ||ᎤᎷᏨᎢ -ᎢᏗ|He or she is about to arrive.
ᎤᎷᏨᎢ|||His or her arriving.
ᎤᎸᏉᏗ|||He or she likes him, her, or it.
ᎤᎸᏉᏙ|||He or she likes him, her, or it. (Usually. Ongoing.)
ᎤᎸᏉᏙᎢ|||He or she likes him, her, or it. (Usually. Ongoing.)
ᎤᎾᎦᏐᏣᏁᏓ|||Goats.
ᎤᎾᎦᏔᏁ|||They peeked through it.
ᎤᎾᎵᎮᎵᏤ|||They were happy or thankful.
ᎤᎾᎵᎮᎵᏨᎢ|||Their happiness or thankfulness.
ᎤᎾᏅᏕ|① ù:nanv́:dv̌:ɂi ② ù:nanhtv̌:ɂi||① They missed him, her, or it when shooting or throwing. ② They knew it.
ᎤᎾᏌᏁᏎ|||He or she pulled him, her, or it.
ᎤᎾᏓᎾᏩᏍᏔᏁ|||The took off running.
ᎤᎾᏛᏁ|||They said.
ᎤᎾᏛᏓᏍᏔᏁ|||They opened it.
ᎤᎾᏠᏱᎴ|||They cried.
ᎤᎾᏣᎠ|||They are inside it.
ᎤᎿ|||There.
ᎤᏁᏙᎸᏎ||ᎤᏂ- ᎤᏪᏙᎸᎢ -ᎥᏒᎢ|They went to walk about.
ᎤᏁᏟᏔᏁ|||He or she tried.
ᎤᏁᏡᏁ|||They howled, screamed, or yelled.
ᎤᏁᏡᏁᏃ|||And they howled, screamed, or yelled.
ᎤᏁᏨᎢ|||His or her speaking. His or her answering.
ᎤᏁᏨᎢᏍᎪ|||Is it his or her speaking or answering?
ᎤᏂᎦᎾᏍᏓ|||Sweet.
ᎤᏂᎨᏳᏐ|||They always love or are possessive over it.
ᎤᏂᎪᎮ|||They saw him, her, or it.
ᎤᏂᎭ|① ǔ:hníha ② ù:niha||① He or she is in bed. ② They have it.
ᎤᏂᎷᏨᎩ|||They arrived.
ᎤᏂᎸᏉᏛᎭ|||They would like him, her, or it.
ᎤᏂᏞ|||They killed him, her, or it.
ᎤᏂᏢᎩ|||They killed him, her, or it.
ᎤᏂᏥ|||Their mother.
ᎤᏂᏫᏛᎮ|||They took him, her, or it somewhere.
ᎤᏂᏲ|||① Bad. ② Poor.
ᎤᏃᎴᏎ|||He or she sneaked up to him, her, or it.
ᎤᏄᎩᏨᏁ|||He or she hugged him or her.
ᎤᏄᎪᏤ|||He or she exited.
ᎤᏄᏩ|||He or she is wearing a shirt, coat, or vest.
ᎤᏅᏖ|||He or she knew it.
ᎤᏅᏤ|||He or she fell from an upright position.
ᎤᏍᎦᎴ|||He or she was afraid.
ᎤᏍᏗ|① u:sdi̋ ② usdi̋||① A baby. ② Little.
ᎤᏍᏚᎢᏎ|||He or she entered it.
ᎤᏍᏚᏁ|||He or she sewed it.
ᎤᏒᏞ|||He or she went to bed.
ᎤᏓᎾᏏᏅᏎ|||He or she dragged themselves.
ᎤᏓᎾᏩᏍᏔᏁ|||His or her going through it.
ᎤᏓᏁᏟᏴᏍᏗ|||For him, her, or it to change.
ᎤᏓᏂᎳᎨᎢ|||Oldest family member.
ᎤᏓᏅᎯᏓ|||Long.
ᎤᏓᏅᏎ|||It changed location.
ᎤᏓᏅᏖᏞ|||He or she thought.
ᎤᏓᏅᏘ|||Gentle.
ᎤᏓᏅᏘᏃ|||And gentle.
ᎤᏓᏙᏎᎴ|||He or she said to themselves.
ᎤᏓᏣᎧᏗ|||Rough.
ᎤᏓᏣᏘᏗ|||He or she is reckless.
ᎤᏔᎾ|||It is big.
ᎤᏔᎾᏍ|||Is it big?
ᎤᏔᏂ|||It is too big.
ᎤᏗᏔᏍᏗ|||For him or her to drink.
ᎤᏗᏛᎲᎢ|||His or her rising up.
ᎤᏙᎯᏳ|||True
ᎤᏛᎦᏁ|||He or she heard it.
ᎤᏛᏁ|① ù:dv:hne ② ù:dv:ɂne ③ ù:dv́:ne||① He or she said. ② He or she was hanged. ③ He or she hanged it.
ᎤᏛᏛᏅ|||He or she asked.
ᎤᏠᏱᎴ|||He or she cried.
ᎤᏠᏱᎸᎢ|||His or her crying.
ᎤᏠᏱᏍᏗ|||For him or her to cry.
ᎤᏢᎦ|||He or she is sick.
ᎤᏢᎬ|||He or she is sick.
ᎤᏢᎬᎢ|||His or her being sick.
ᎤᏣᎠ|||It is inside it.
ᎤᏣᎥᎢ|||His or her being inside it.
ᎤᏤᎵ|||His.
ᎤᏥ|||His or her mother.
ᎤᏥᎨ|||Or is it his or her mother?
ᎤᏥᏧ|||Isn't it his or her mother?
ᎤᏩᏂᎴ|||① He or she knocked. ② He or she struck him, her, or it.
ᎤᏩᏌ|||Him or herself.
ᎤᏩᏛᏗ|||For him or her to find it.
ᎤᏩᏰᏫᏒᎢ|||His or her sewing.
ᎤᏪᎮᏍᏛ|||He or she resided.
ᎤᏪᏅᏍᏗ|||For him or her to go.
ᎤᏪᏅᏎ|||He or she went.
ᎤᏪᏅᏏᏏᎴ||ᎤᏪᏅᏒᎢ -ᎢᏏᎸᎢ|He or she went again.
ᎤᏪᏓᏍᏗ|||For him or her to walk about.
ᎤᏪᏡᏁ|||He or she howled, screamed, or yelled.
ᎤᏪᏡᏁᏃ|||And he or she howled, screamed, or yelled.
ᎤᏪᏥ|||① His or her child. ② An egg.
ᎤᏬᏂᏒᎢ|||His or her speaking.
ᎤᏬᏢᏁ|||He or she made it.
ᎤᏭᏔᏁ|||She used it.
ᎤᏯᎸᏅᏤ|||It is sticking to it or it is attached to it.
ᎤᏯᏅᎮ|||He or she is calling out for him or her.
ᎤᏰᏤ|||He or she awoke.
ᎤᏲ|||① Bad. ② Poor.
ᎤᏲᎢ|||① Bad. ② Poor.
ᎤᏲᏍ|||Is it bad?
ᎤᏲᏒ||ᎤᏲᎢ -ᏒᎢ|① Unusually bad. ② Unusually poor condition.
ᎤᏴᏍᏗ|||For him or her to enter.
ᎤᏴᏞ|||He or she entered.
Ꭵ|||Yes.
ᎥᎤᎷᏤ|||He or she returned.
ᎥᎥ|||Yes.
ᎥᏍᎩ|||① That. Those. ② He. She. It.
ᎥᏍᎩᎩ|||Really?
ᎥᏍᎩᏅ ᎢᏳᏍᏗ|||Therefore. For that reason. That for it's way to be.
ᎥᏍᏊ|||Also.
ᎥᏝ|||No. Not.
ᎥᏝᏍᎪ|||Isn't it? Doesn't it?
ᎦᎪ|||Who?
ᎦᎯᏒᏁ|||You devoured them.
ᎦᎯᏒᏅᎢ|||Your act of eating them.
ᎦᎯᏲᏎᎴ|||You said for them.
ᎦᎴᏴᏍᏗᏍᎩ|||A lumberjack.
ᎦᎵᎡᎵᎦ|||He or she is happy or thankful.
ᎦᎵᎮᎵᎪ|||I am always glad.
ᎦᎵᏉᎩ|||Seven.
ᎦᎵᏦᏕ|||House.
ᎦᎶᎯᏍᏗ|||Door. Doorway.
ᎦᎶᎯᏍᏗᎢ|||Door. Doorway.
ᎦᎸᎳᏗᏜ|||Above.
ᎦᏁᎳ|||He or she resides.
ᎦᏂᏟ|||A bed.
ᎦᏄᎪᎬᎢ|||A well. A spring.
ᎦᏙ|||What?
ᎦᏙ ᏧᏍᏗ|||What things?
ᎦᏙᎲ|||Why?
ᎦᏙᏃ|||And what?
ᎦᏚ|① ga̋:du ② gadú||① Bread. ② On top.
ᎦᏚ ᎤᎦᎾᏍᏓ|||A cake. A sweet bread.
ᎦᏚ ᎤᏂᎦᎾᏍᏓ|||Cakes. Sweet breads.
ᎦᏚᏃ|||And bread.
ᎦᏟᎮ|||He or she was sleeping.
ᎦᏥᏒᎲᏍᏗ|||For me to devour them.
ᎦᏥᏒᏅᎩ|||I devoured them.
ᎨᏎ|||Was being.
ᎨᏒᎩ|||Was.
ᎨᏙᎰ|||I am usually walking about. I am usually around.
ᎨᏣᏄᎩᏣᏗ|||For them to hug you.
ᎨᏣᏍᏚᎢᏎᎴ||ᎨᏣ- ᎤᏍᏚᎢᏒᎢ -ᎡᎸᎢ|They opened it for you.
ᎨᏣᏫᏓ|||They just now took you somewhere.
ᎩᎦᎨ|||Red.
ᎩᎦᎨᏍ|||Is it red?
ᎩᎳᏊ|||Pretty soon.
ᎩᎶ|||Someone.
ᎪᎯᏓ|||A long time.
ᎪᎯᏴᎢ|||Later. After a while. By and by.
ᎪᏢᏅ|||Butter.
ᎪᏢᏅᎢ|||Butter.
ᎪᏢᏅᏍᏊ||ᎪᏢᏅ -ᏍᏊ|Butter, also.
ᎬᎦᏙᏍᏗ|||I'm looking at you.
ᎬᎩᎪᎲᎭ||ᎬᎩ- ᎤᎪᎲᎢ - ᎥᎭ|They would see me.
ᎬᎩᏂᏱᏗ|||For them to catch me.
ᎬᎪᏩᏘᎭ|||I am seeing you.
ᎬᎪᏩᏛᏗ|||For me to see you.
ᎬᎵᏏ|||I, your maternal grandmother.
ᎬᏄᎩᏣᏗ|||For me to hug you.
ᎬᏍᎦᎭ|||I am afraid of you.
ᎬᏒᎲᏍᏗ|||For me to devour you.
ᎬᏗ|||By means of.
ᎬᏩᏪᏓᏍᏗ|||He or she is able to walk about.
ᎬᏯᎦᏙᏍᏙᏗ|||For me to look at you.
ᎬᏯᏄᎩᏣᏗ|||For me to hug you.
ᎬᏯᏛᎪᏗ|||For me to hear you.
ᎬᏯᏢᏔᎲᎩ|||I caught up with you.
ᎬᏲᎴᎵ||Ꭼ- ᎤᏲᎸᎢ -ᎡᎵ|I just now brought it for you.
ᎬᏲᏎᎭ|||I am saying to you.
Ꭽ|||Ha!
ᎭᎵᏍᏚᎸᎦ|||Put on a head covering.
ᎭᏛᎬᎦ|||Hear it.
ᎭᏛᏁᎭ|||You are doing something.
ᎭᏛᏁᎵᏍᎩ|||You are one who acts silly. You are a clown.
ᎭᏢ|||Where?
ᎭᏢᏍᎩᏂ|||But where?
ᎮᏡᎲᎦ|||You just now cried out.
ᎯᎠ|||① This. These. ② He. She. It.
ᎯᎦᏴᎵ|||You are old.
ᎯᎪᏩᏔ|||Let you see.
ᎯᎬᎩ|||Let you drown.
ᎯᎰᎵ|||You mouth.
ᎯᎳ|||How?
ᎯᎳ ᎢᏴ|||How long?
ᎯᎷᎦ|① hiɂlù:gā ② hi:lù:gā||① You just arrived. ② You just killed him or her.
ᎯᎷᎩ|||Let you arrive.
ᎯᎾᏌᎾᎩ|||Pull it.
ᎯᏍᎦᎭ|||You are afraid of him, her, or it.
ᎯᏍᎦᎭᏍ|||Are you afraid of him, her, or it?
ᎯᏍᎦᎭᏍᎪ|||Are you afraid?
ᎯᏍᎩ|||Five.
ᎯᏎᎩ|||You are peculiar or strange.
ᎯᏎᎩᏒ|||You are unusually strange.
ᎯᏟᎲᎩ|||You were sleeping.
ᎯᏩᏯ|||You are a wolf.
ᎯᏫᏛᎮᏗ||Ꭿ- ᎤᏫᏛᎲᎢ -ᎡᏗ|For you to take it someplace for someone.
ᎰᏩ|||Ok. Alright. You're welcome.
Ꮎ|||The. That.
ᎾᎥ|||Near.
ᎾᎩᏍᎦᎸᎾ||Ꮒ- ᎠᎩ- ᎤᏍᎦᎸᎢ -ᎥᎾ|I am without fear.
ᎾᎩᏩᎾᏕᎪ|||① I always treat it… ② He or she always treats me…
ᎾᎯᏳ|||Then.
ᎾᎯᏳᏃ|||And then.
ᎾᎯᏳᏊ|||Just then.
ᎾᎾᎵᏍᏇᏚᎠ|||They just now caused it.
Ꮒ- -ᎥᎾ|||Without.
ᏂᎦᎵᏍᏗᎭ|||It is happening.
ᏂᎦᎵᏍᏗᏍᎨᏍᏗ|||It will be happening.
ᏂᎦᏓ|||All. Everyone.
ᏂᎦᏥᎸᏉᏛᎾ||Ꮒ- ᎦᏥ- ᎤᎸᏉᏛᎢ -ᎥᎾ|I am without liking for them.
ᏂᎨᏒᎾ||Ꮒ- ᎨᏒᎢ -ᎥᎾ|Without.
ᏂᎨᏣᏛᏁᎴᎴ||Ꮒ- ᎨᏣ- ᎤᏛᏁᎸᎢ -ᎡᎸᎢ|They did it for you.
ᏂᎪᎯᎸᎢ|||Always.
ᏂᎬᎩᎸᏉᏛᎾ||Ꮒ- ᎬᎩ- ᎤᎸᏉᏛᎢ -ᎥᎾ|They are without liking for me.
ᏂᎯ|||You.
ᏂᎯᎾᏰᎬᎾ|||You are without causing danger.
ᏂᎯᏍᏊ|||You also.
ᏂᏣᏛᏁᎴ|||You all did.
