# Na-Anijoi-Sigwa.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
Ꮭ ᏳᏅᏖ|||He or she didn't know.
Ꮭ ᏳᏲᏍᏔᏁ|||He or she did not break it.
ᏞᎩ||hle:kí|Soon.
ᏡᎬ|||A tree.
ᏣᎷᎶᏨ|||You lacking. Idiom: You are crazy.
ᏣᎷᎶᏨᎢ|||Your lacking. Idiom: You are crazy.
ᏣᎸᏉᏛᎭ|||You should or would like it.
ᏣᏁᏍᎨᎮ|||You built it.
ᏣᏁᏍᎨᏗ|||For you to build it.
ᏣᏅᏔᏍ|||Do you know?
ᏣᏛᎦᏅᎭ|||You should or would hear it.
ᏣᏛᏅᎢᏍᏔᏁᏍ|||Are you prepared?
ᏣᏛᏅᎩ|||You said.
ᏣᏥ|||Your mother.
ᏣᏦᏔᎲᎢ|||Your blowing.
ᏣᏲ|||You are bad.
ᏣᏲᏒ|||You are extra bad. You are doing extra poorly.
ᏣᏴᏍᏗ|||For you to enter.
ᏤᏅᏎ|||You went.
ᏥᎩᎩᏍᏗ|||For me to get him or her.
ᏥᎩᏍᎨᏍᏗ|||I will be getting him, her, or it.
ᏥᎩᏍᏗ|||For me to get him or her.
ᏥᎷᎦ|||I am arriving.
ᏥᏂᏱᏗ|||For me to catch him or her.
ᏥᏒᎲᏍᏗ|||*
ᏥᏒᏅᎩ|||I devoured him or her.
ᏥᏚᎢᏍᏗᎭ|||I promise.
ᏥᏩᏛᎮᏗ||Ꮵ- ᎤᏩᏛᎲᎢ -ᎡᏗ|For me to find it for him or her.
ᏥᏯᏁᏍᎨᎮᏗ||Ꮵ- ᎤᏁᏍᎨᎲᎢ -ᎡᏗ|For me to build it for him or her.
ᏥᏯᏛᎩ|||I hear him or her.
ᏥᏯᏛᎩᎠ|||I hear him or her.
ᏥᏴᎩ|||I am a prisoner. I am a captive.
ᏦᎢ|||Three.
ᏦᎢᏁ|||Third.
ᏦᎢᏁᎢ|||Third.
ᏦᎢᏁᏃ|||And the third.
ᏧᎾᏍᏗ|||Little.
ᏧᏪᏅᏒᎢ|||His or her home.
ᏨᏰᏍᏗ|||You will be having it.
ᏩᎭᏯ|||A wolf. Wolves.
ᏩᎭᏯᏃ|||And the wolf.
ᏩᏇᏅᏒᎩ|||I went away.
ᏩᏙ|||Thanks.
ᏪᏥᏬᏂᏏ||Ꮻ- ᎡᏥ- ᎤᏬᏂᏒᎢ -Ꮟ|Let you all talk to him or her.
ᏫᎦᏓᏅᏛᎳ|||Let me think.
ᏫᏍᎩᎥᏏ|||Let you give it to me.
ᏫᏤᏅᏍᏗᏍ|||Is it for you to go?
ᏫᏥᏄᎪᎢ|||Let me exit.
ᏫᏥᏩᏔ|||Let you all go find it.
ᏫᏥᏴᎭ|||Let me enter.
ᏭᏁᏅᏍᏗ|||For them to go away.
ᏭᏗᏅᏎ|||He or she threw it.
ᏭᏪᏅᏍᏗᏍ|||Is it for him or her to go?
ᏭᏪᏅᏒᎭᏍ||Ꮻ- ᎤᏪᏅᏒᎢ -ᎥᎭ -ᏍᎪ|Should or would he or she go?
ᏯᎩᏬᏂᏎᎵ||Ᏹ- ᎠᎩ- ᎤᏬᏂᏒᎢ -ᎡᎵ|Maybe he or she just talked to me.
ᏯᏦᏔ|||*
ᏯᏬᎳᏓᎩ|||*
ᏯᏯᎡᏍᏗ|||*
ᏱᎨᎦ|||*
ᏱᎨᎩᏂᏂᏴᎯ|||*
ᏱᎨᏎ|||Maybe it was being.
ᏱᎨᏎᏍᏗ|||Maybe it will be.
ᏱᎬᎦᏘᏯ|||*
ᏱᎬᏬᏂᏎᎵ|||Maybe I just spoke to you.
ᏱᏁᎾ|||*
ᏱᏂᏔᏛᏁᎵ|||*
ᏱᏍᎩᎩ|||Maybe you get me.
ᏱᏍᎩᏂᏯ|||Maybe you just caught me.
ᏱᏍᎩᏒᎮ|||*
ᏱᏍᎩᏬᏂᏎᎵ|||Maybe you just spoke to me.
ᏱᏓᎦᎪᏂ|||*
ᏱᏓᎯᏲᎢᏍᏔᏂ|||*
ᏱᏓᏣᏂᏴᎯ|||*
ᏱᏘᏲᏍᏔᏂ|||Maybe you will break it.
ᏱᏛᏲᏥ|||Maybe it will break. Idiom: Maybe he or she will become spoiled.
ᏱᏥᎪᏘᎭ|||*
ᏱᏥᎮᎭ||Ᏹ- ᎢᏥ- ᎤᎲᎢ -ᎡᎭ|Maybe he or she has it for you all.
ᏱᏥᎷᎶᎦ|||I am not lacking.
ᏳᎦᏘᏕ|||*
ᏳᎪᎮ|||*
ᏳᎭ|||Maybe he or she has it.
ᏳᏂᏴᎮ|||*
ᏳᏅᏖ|||*
ᏳᏲᏍᏔᏁ|||*
ᏳᏲᏤ|||Maybe it broke. Idiom: Maybe he or she became spoiled.
