# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᎥᏍᎩᎾ|||That. Those. He. She. It.
ᎥᏍᎩᏅ|||*
ᎥᏍᎩᏅ ᎢᏳᏍᏗ|||Therefore.
ᎥᏍᏊ|||Also.
ᎥᏝ|||No. Not.
ᎥᏝᏧ|||① Isn't it no? ② Didn't it?
ᎦᎪ|||Who?
ᎦᎪᏗ|||A plant.
ᎦᎯᏯᎦᏙᏍᏓ|||Let you look at them.
ᎦᎾᎵ|① gà:na̋:li ② gà:náɂli||① Lazy. ② Castrated.
ᎦᎾᎵᏍ|||Is it laziness?
ᎦᎾᎵᏧ|||Isn't he or she lazy?
ᎦᏍᎩᎸᎢ|||On a raised flat surface.
ᎦᏙ|||What?
ᎦᏙᎲ|||Why?
ᎦᏚ|① ga̋:du ② gadú||① Bread. ② On top.
Ꭷ|||Hey!
ᎧᏂᏈᏌ|||A rat. Rats.
ᎧᏂᏈᏌᏍ|||Is it the rat?
ᎧᏃᎮᏗ|||Story.
ᎧᏅᏩᏗ|||Conrad
ᎨᏎ|||Was being.
ᎨᏎᎢ|||It was being.
ᎨᏎᏍᏗ|||It will be.
ᎨᏐᎢ|||It usually is.
ᎨᏒᎩ|||Was.
ᎩᎶ|||Someone.
ᎩᎶᏍ|||Is it someone?
ᎪᎱᏍᏗ|||Something. Things.
ᎪᎱᏍᏗᏍ|||Is it something?
ᎬᏍᏕᎸᏗ|||For me to help you.
ᎬᏗ|||By means of.
ᎬᏩᎩᎸᏗ||ᎬᏩ- ᎤᎩᎸᏗ|He or she is able to get on or in it.
ᎬᏩᎩᎸᏗᏍ||ᎬᏩ- ᎤᎩᎸᏗ -ᏍᎪ|Is he or she able to get on or in it?
ᎬᏩᎩᏍᏗ||ᎬᏩ- ᎤᎩᏍᏗ|He or she is able to get it.
ᎬᏩᎵᏍᏓᏴᏗ||ᎬᏩ- ᎤᎵᏍᏓᏴᏗ|He or she is able to eat a meal.
ᎬᏩᏂᏍᏕᎸᏗ||ᎬᏩᏂ- ᎤᏍᏕᎸᏗ|They are able to help him or her.
ᎬᏩᏃᏍᎩᏍᏗ||ᎬᏩ- ᎤᏃᏍᎩᏍᏗ|He or she is able to steal it.
ᎬᏩᏘᏗ||ᎬᏩ- ᎤᏘᏗ|He or she is able to bake.
ᎬᏩᏛᏗ||ᎬᏩ- ᎤᏛᏗ|He or she is able to find it.
